Index,Name,Year,IMDB,Critic_score,Genre,  G_C,N_W_Award,Filmfare_AWARD,Budget,Box_office_collection,Time_duration
87,Shamshera,2022,4.7,3,"Action, Adventure, Drama",UA,0,0,150,63,159
88,Shabaash Mithu,2022,5.6,3,"Biography, Drama, Sport",UA,0,0,30,3.33,156
89,Bamfaad,2022,5.8,3.5,Romance,A,0,0,NA,NA,167
90,Nail Polish,2022,7.2,3.5,Drama,A,0,0,12,NA,128
91,Gangubai Kathiawadi,2022,7.8,4,"True Crime, Biography, Crime, Drama",A,0,3,180,211.5,154
92,Atrangi Re,2022,6.5,3.5,"Comedy, Drama, Fantasy, Musical, Romance",UA,0,1,100,NA,138
93,Atkan Chatkan,2022,7.7,3.5,"Drama, Musical",UA,0,0,NA,NA,123
94,Good Luck Jerry,2022,5.5,3.5,"Comedy, Crime, Drama",UA,0,0,20,NA,119
95,Gehraiyaan,2022,5.8,3,"Drama, Romance",A,0,2,70,NA,148
96,Jawaani Jaaneman,2022,6.5,3.5,"Comedy, Drama, Family",UA,0,0,30,455,119
97,Bhool Bhulaiyaa 2,2022,5.7,3,"Comedy, Horror",UA,0,2,65,266.88,143
98,Raksha Bandhan,2022,5.4,3,"Comedy, Drama, Family",UA,0,0,70,44,108
99,Raat Baaki Hai,2021,5.1,2.5,"Drama, Thriller",A,0,0,NA,NA,89
